Task,Average,Links to Procedures
Fuel Lines N,5:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FuelLinesN__01.pptx
Radiator N Assembly,12:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RadiatorNAssembly__06.pptx
Radiator N Install,8:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RadiatorNInstall_02.pptx
Radiator N Fill,1:42,Radiator fill is included in the previous
Engine Oil Fill N,3:17,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520EngineOilFillN__02.pptx
QC Checklist,1:42,
IN-Bound inspection,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 20_00.pptx
Hose Retainer,0:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HoseRetainer__00.pptx
SDLA Shield Brush Cover Assembly,0:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-SDLABrushCover__01.pptx
SDLA Shield Brush Cover Install,0:35,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520S.D.L.AShield__00.pptx
Right Rear Fenders ,4:32,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RightRearFenders__01.pptx
Right Foot Peg and Fenders,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RightFootPegandFender__00.pptx
Control Panel,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ControlPanel__00.pptx
Seat Prop Assembly,0:45,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-SeatProp__00.pptx
Seat Mount Assembly,3:05,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Seat Mount__00.pptx
Seat Prop and Mount Install ,3:08,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SeatPropandMountInstall__00.pptx
Seat Belt ,1:37,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SeatBelt__00.pptx
Left Rear Fender,4:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LeftRearFenders__01.pptx
Left Foot Peg and Fender,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LeftFootPegandFender__00.pptx
Serial Plate/ key,0:38,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SerialPlate_01.pptx
QC Checklist ,2:35,
In-Bound Inspection,4:03,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 21_00.pptx
Air Cleaner N,4:05,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520AirCleanerN__01.pptx
Test,12:37,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520TestStationN__04.pptx
Ziptie,0:43,
Clutch adjust,0:50,
In-Bound Inspection ,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 22_00.pptx
F/R Rocker and Shock Assembly ,3:10,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-FRRockerandShock__00.pptx
Rocker and Shock Install ,2:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RockerandShockInstall__01.pptx
Right Platform Panel,0:41,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RightPlatformPanel__00.pptx
PTO Idler Pulley Guard,0:57,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PTOIdlerPulleyGuard__00.pptx
Low Pressure Hydraulic Test ,1:05,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LowPressureHydraulicTest__00.pptx
"USA, Battery Disconnect and Fan Blade Hazard Decals ",2:28,"Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520USA,BatteryDisconnectandFanBladeDecal__03.pptx"
"ANSI, PTO and Front Hitch Lock Decals ",1:10,"Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520,PTO And FrontHitchLockDecals__02.pptx"
Pro Foot Control Install,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProFootControlInstall_00.pptx
Seat Box Side Decals ,3:08,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SeatBoxSideDecals__02.pptx
Fuel Decal ,0:35,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FuelDecal__01.pptx
Seat box and Inner Fender Decals,2:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SeatboxandInnerFenderDecals__02.pptx
Pump Control Rod ,4:39,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PumpControlRod__01.pptx
Parking Brake Switch Calibration ,1:39,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ParkingBrakeSwitchCalibration__00.pptx
Left and Right Flex Tread ,1:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LeftandRightFlexTread__02.pptx
QC Checklist,2:00,
In-Bound Inspection,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 23_00.pptx
Dash Access Panels,1:36,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520DashAccessPanels__00.pptx
Steering valve and Filter Cover,0:21,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringValveandFilterCover__01.pptx
Right Pump and Parking Brake Cover,1:07,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RightPumpandParkingBrakeCover__01.pptx
Standard Seat Install ,3:10,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520StandardSeatInstall__00.pptx
Optional Suspension Seat,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520OptionalSuspensionSeat__00.pptx
Weight Install ,0:51,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520WeightInstall__01.pptx
Adj Neutral switch,1:19,
Neutral/PTO/Seat test,0:22,
Brake rod,0:18,
Prep RT Pump cover,0:23,
Left priority valve cover,0:44,
Seat bumpers,0:57,
Tire Install,6:46,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520WheelandTireInstall__01.pptx
Hardware Bags,2:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520StandardOpt.3PointHardwareBags__02.pptx
QC Checklist,2:00,
In-bound Inspection,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 24 _01.pptx
"Headlights, Filler, Front Grill Assembly",10:37,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-HeadlightsFrontGrill__03.pptx
Front Grill Installation,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontGrillInstallation__00.pptx
Hood Installation,14:19,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HoodInstallation__05.pptx
Battery Panel,0:28,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BatteryPanelInstall__00.pptx
QC Checklist,0:32,
Tractor Inspection,13:50,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520TractorInspection__01.pptx
Retorque Front Rear Link and Steering Cylinder ,1:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RetorqueFrontRearLinkandSteeringCylinder__00.pptx
Rear Receiver ,0:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RearHitchInstall_00.pptx
Tunnel and Pump Cover,2:13,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520TunnelandPumpCover__01.pptx
Engine Access Panels,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520EngineAccessPanels__03.pptx
Tractor Lift and Hood Centering,2:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520TractorLiftandHoodCentering__02.pptx
"Center Plugs, Optional 3-point Decal",0:35,"Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520CenterPlugs,Optional3-pointDecal__00.pptx"
Torquing Lug Nuts and Test Drive,5:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520TorquingLugNutsandTestDrive__00.pptx
QC Checklist,5:57,
HP hose torque,1:55,
Scan/ Jobtracker,1:05,
Lift wheel Torque,1:42,
Return cart,0:47,
